customer_id,customer_name,region,signup_date
1,Andrew Beck,North,2024-10-16
2,Christina Gray,East,2023-01-26
3,Amber Goodwin,South,2023-09-08
4,Norman Mora,North,2023-05-23
5,Dr. Margaret Conway,Central,2024-11-23
6,Joshua Lopez,Central,2023-03-31
7,Jessica Perez,North,2024-03-08
8,Charles Olsen,North,2023-01-31
9,Valerie Smith,South,2023-08-12
10,Jessica Keith,Central,2024-06-01
11,Kathryn Baker,Central,2023-01-28
12,Ashley Barnes,Central,2023-07-23
13,Darlene Wilson,South,2024-03-05
14,William Harper,Central,2024-04-04
15,Robert Richardson,North,2023-10-12
16,Eric Clayton,West,2023-06-13
17,Joseph Olsen,East,2023-12-15
18,Michael Roberts,South,2023-06-09
19,Melanie Shepard,North,2023-12-11
20,Jermaine Fox,West,2023-04-05
21,Mr. John Gross,East,2023-04-10
22,Thomas Oneal,Central,2023-12-19
23,Jessica Torres,North,2023-09-28
24,James Erickson,Central,2024-04-15
25,Bryan Johnson,West,2023-05-08
26,Deborah Hawkins DDS,Central,2023-03-22
27,Jeffery Floyd,Central,2023-10-28
28,Jesse Huynh,Central,2024-01-06
29,Margaret Harvey,North,2023-07-16
30,Amanda Faulkner,South,2023-02-16
31,Tracie Tran,North,2023-10-24
32,Gene Walker,North,2023-08-27
33,Christina Riley,East,2024-01-25
34,Joel Mullins,East,2024-04-09
35,Deborah Ramos,East,2023-06-16
36,Donald Roberson,South,2023-12-30
37,Krista Horton,East,2024-11-17
38,Joy Hurley,North,2024-11-30
39,Jason Brown,South,2024-09-15
40,Steve Spencer,South,2024-06-30
41,Sheri Avila,West,2023-06-17
42,Dr. Christina Martin,East,2024-01-24
43,Elizabeth Reyes,Central,2024-10-17
44,Denise Lyons,East,2023-08-13
45,Teresa Banks,South,2023-02-27
46,Bonnie Hall,East,2023-02-02
47,Bradley Tate,East,2024-02-15
48,Martin Mccarty,South,2023-03-09
49,Jason White,East,2024-08-03
50,Kyle Martin,West,2023-08-06
51,Christina Becker,West,2024-02-10
52,Dominique Dunn,East,2023-05-27
53,Jeff Miller MD,South,2023-05-23
54,Kimberly Perry,Central,2024-07-28
55,Jennifer Short,Central,2023-09-27
56,Willie Nunez,Central,2024-03-14
57,Grace Garcia,East,2024-02-13
58,Andrew Meyer,South,2023-08-13
59,Chad Johnson,West,2024-06-05
60,Stephanie Hughes,North,2023-04-04
61,Jennifer Peterson,South,2023-04-23
62,Alexandra Horn,South,2024-10-04
63,Dr. Darren Cummings,West,2024-11-27
64,Karen Newton,North,2024-09-02
65,Cynthia Williams,West,2024-01-30
66,Austin Ho,West,2024-09-02
67,Carrie Kent,East,2024-06-25
68,Kristin Morgan,North,2024-07-20
69,Maria Flores,North,2024-11-27
70,Michael Aguirre,Central,2024-11-29
71,Rachael Anderson,East,2023-10-01
72,Kelsey Fitzgerald DVM,East,2023-04-25
73,Kevin Sullivan,South,2024-03-21
74,Jordan Espinoza,North,2024-04-09
75,Kyle Hill,Central,2023-09-27
76,Stacey Ward,Central,2023-07-02
77,Rachel Kane,East,2023-04-19
78,Jessica Jackson,Central,2024-10-16
79,John Walters,South,2024-09-15
80,Andrew Jones,East,2023-06-06
81,Brian Johnson,Central,2023-06-15
82,Joseph Payne,North,2024-06-27
83,Jesse Franklin,East,2024-09-05
84,Lindsey Thornton,North,2024-05-15
85,Tracy Chavez,East,2023-04-25
86,Amy Brown,South,2023-11-11
87,Christopher Flores,South,2023-03-01
88,Nicholas Miller,North,2024-08-03
89,Michael Miller,West,2023-03-29
90,Tabitha Obrien,Central,2023-03-12
91,Julie Evans,South,2023-05-09
92,Thomas Martin,West,2024-11-06
93,Andrea Fuentes,South,2024-07-16
94,Martin Kim,Central,2023-09-29
95,Todd Miller,West,2024-09-13
96,Robin Gonzalez,Central,2023-08-05
97,Bryan Parker,East,2023-07-25
98,Marc Nelson,East,2024-02-13
99,Jonathan Powell,Central,2024-03-24
100,Andrea Howard,North,2024-04-07
101,Destiny Smith,South,2023-09-11
102,Mary Miller,East,2023-03-07
103,Christopher Rocha,Central,2023-01-22
104,Jessica Robinson,South,2024-07-21
105,Mary Roth,South,2024-08-25
106,Andrew Hunt,North,2023-01-08
107,Deborah Brown,North,2024-10-08
108,Timothy Taylor,North,2023-08-23
109,Doris Garcia,East,2023-02-02
110,Melanie Simon,Central,2023-03-14
111,Jon Barton,East,2023-09-01
112,Stacey Miller,West,2024-11-16
113,Roberta Holt,Central,2023-08-08
114,Jane Garrison,Central,2023-05-16
115,Kimberly Rodriguez,West,2024-08-13
116,Shelby Hall,West,2023-09-06
117,Kimberly Swanson,South,2024-02-21
118,Johnathan Johnson,North,2023-04-07
119,Paul Jackson,West,2024-11-05
120,Jeffery Cain,West,2023-12-29
121,Laura Price,West,2024-02-25
122,Nathan Hansen,North,2023-02-25
123,Adam Livingston,West,2023-03-04
124,Julie Johnson,North,2023-12-14
125,Erika Cooper,South,2023-09-12
126,Haley Calhoun,Central,2023-07-14
127,Mr. Robert Evans MD,South,2024-04-04
128,Dawn Galloway,South,2024-03-08
129,Elizabeth Perez,West,2023-10-13
130,Jill Collins,North,2023-09-13
131,Danny Sanchez,Central,2024-03-29
132,Shelly Chan,North,2023-04-11
133,Holly Morgan,Central,2024-10-29
134,Anna Short,North,2023-01-16
135,Jordan Jones,South,2023-08-31
136,Monica Scott,West,2024-02-21
137,Karen Jackson,South,2024-05-07
138,Spencer Wilson,North,2024-02-15
139,Christopher Ingram,West,2023-06-18
140,Alvin Morrow,West,2023-01-03
141,Mary Henry,West,2023-09-29
142,Brittney Ferrell,West,2023-10-20
143,Robert Mcdowell,West,2024-07-23
144,Peter Allen,South,2023-06-08
145,Donald Villegas,South,2023-10-31
146,Andrew Raymond,Central,2023-03-01
147,Jaime Smith,North,2024-07-09
148,Michael Hamilton,North,2023-11-18
149,Amy Turner,Central,2023-02-21
150,Robert Wilson,Central,2024-05-03
151,Kathryn Smith,South,2024-06-27
152,Robert May,Central,2023-02-28
153,Erica Wright,South,2023-03-24
154,Gregory Olson,Central,2023-03-12
155,Sean Cannon,South,2023-03-11
156,Brian Jones,North,2024-02-18
157,Louis Carr,South,2024-08-06
158,Nicholas Anderson,Central,2024-08-15
159,Catherine Flores,Central,2023-02-10
160,Jessica Williams,West,2023-03-25
161,Whitney Mcdaniel,Central,2024-11-04
